problem,N,repeat,method,sigma,n_samples,converged,termination,termination_status,termination_message,n_iter,n_fev,max_iter,max_fun,n_nonfinite,train_variance,train_objective,train_data,train_kl,fresh_objective,fresh_data,fresh_kl,fit_time,rmse,coverage_95.45,width_95.45,coverage_99.9,width_99.9,interval_score,nll,zero_density,nll_floor,pp_area_signed,pp_area_abs,pit_area_signed,pit_area_abs
burgers,8,0,Ellipse+EB,,,True,closed_form,,,,,,,,,-1.1140357132632035,,,,,,0.0304407500661909,0.077313803489644,0.9057291666666668,0.1705473586470132,0.946875,0.2686026082706737,0.5574748499766876,inf,0.0296875,-1.5161996378633549,0.0810180812408337,0.0812813555031825,9.960690777522166e-05,0.0399781459642203
burgers,8,1,Ellipse+EB,,,True,closed_form,,,,,,,,,-1.375133660620612,,,,,,0.0332383750937879,0.0830494706418079,0.9140625,0.2455505391865772,0.9619791666666666,0.3903237031818697,0.5756550283931123,inf,0.0192708333333333,-1.490994921979507,-0.0015243848166254,0.0168690368407436,0.0025385274942548,0.0176446806761584
burgers,8,2,Ellipse+EB,,,True,closed_form,,,,,,,,,-0.9188625516869612,,,,,,0.0133007918484508,0.11751476312979,0.9427083333333334,0.3103171155872639,0.96875,0.4957253116867393,0.6267530366195282,inf,0.0161458333333333,-1.226426192805147,0.0252991845870481,0.0255604957746005,0.0089654938688587,0.0224565744776925
burgers,8,3,Ellipse+EB,,,True,closed_form,,,,,,,,,-0.1672344995839016,,,,,,0.0198300420306622,0.0761640671915143,0.9953125,0.5583494558269382,0.9979166666666668,0.8607233253211904,0.5831645458204391,inf,0.0010416666666666,-1.2239112901501723,-0.1784919865920358,0.1784919865920358,0.0005670514020893,0.1197238308558378
burgers,8,4,Ellipse+EB,,,True,closed_form,,,,,,,,,-1.0352976063424026,,,,,,0.0181543752551078,0.0860288103575259,0.8447916666666667,0.1782379797059864,0.9395833333333332,0.28126034712273,0.5825406479246551,inf,0.009375,-1.429750671009777,0.0187436273359298,0.0288483578822058,0.0020902434886243,0.0176528596811476
burgers,8,5,Ellipse+EB,,,True,closed_form,,,,,,,,,-1.7096326339085204,,,,,,0.0128744160756468,0.0718995367882684,0.9307291666666666,0.2088858846400152,0.9859375,0.330704229800015,0.3219900393867092,inf,0.0026041666666666,-1.7719787726067888,0.0514547072516638,0.0521249588292784,0.0029449163201149,0.0319762130320123
burgers,8,6,Ellipse+EB,,,True,closed_form,,,,,,,,,-2.162769840081928,,,,,,0.0263739582151174,0.1002066953000948,0.7036458333333334,0.1140779241801209,0.8791666666666667,0.1878401863721024,1.0346065394751869,inf,0.0640625,-0.9675088917047786,0.1373813332439815,0.1380473817210751,0.0155471125623392,0.0859381085631146
burgers,8,7,Ellipse+EB,,,True,closed_form,,,,,,,,,-1.9563709421146496,,,,,,0.0328005421906709,0.0717906077889415,0.5572916666666667,0.075402341103496,0.7109375000000001,0.117358534709162,0.8828805878386096,inf,0.1317708333333333,-0.0549994232427919,0.2131888696869118,0.2133759042938454,0.0061077509700865,0.122143913582258
burgers,8,8,Ellipse+EB,,,True,closed_form,,,,,,,,,-0.5385388212724058,,,,,,0.0155207919888198,0.0666426836316711,0.9875,0.2977523254741708,0.9942708333333334,0.4613614369977025,0.3476695335996921,inf,0.0026041666666666,-1.6921190309667784,-0.0647570535867056,0.0648570591041078,0.0036026289973315,0.0451126859435977
burgers,8,9,Ellipse+EB,,,True,closed_form,,,,,,,,,-1.0037340015154288,,,,,,0.0106227500364184,0.0726763347213369,0.9713541666666669,0.286916782026102,0.9890625,0.4340809860204946,0.3963194412232944,inf,0.00625,-1.7907855898778555,-0.1282042196060123,0.1282042205373346,0.0047328633275375,0.090799065285979
